id,name,phone,email,company,status,disposition,summary,called_at_iso,log_id
16250,StaunchOndemand Solutions Private Limited,+919759925701,nitesh@sodspl.com,StaunchOndemand Solutions Private Limited,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:41:17.112638Z,
16251,Synergy Systems & Pheripherals,+919841746593,nfo1@synergysystem.in,Synergy Systems & Pheripherals,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:40:31.483732Z,
16252,Amoolya Systems Technologies,+919980199974,murali@amoolyasystems.com,Amoolya Systems Technologies,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:39:03.013547Z,
16253,Veba Systems,+919789071350,info@vebasystems.com,Veba Systems,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:37:45.236358Z,
16254,Team Engineers,+919949150099,info@teamengineers.in,Team Engineers,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:36:58.314960Z,
16255,S H Telecom Services,+919848174559,info@shtelecom.net,S H Telecom Services,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:36:04.502784Z,
16256,Server Parts,+919391440440,info@serverparts.in,Server Parts,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:35:30.848118Z,
16257,Kamalveer Systems,+918886331764,info@kamalveersystems.net,Kamalveer Systems,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:32:11.791889Z,
16258,Gowra Bits & Bytes Private Limited,+919866669151,hello@gbb.co.in,Gowra Bits & Bytes Private Limited,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:31:13.709147Z,
16259,ServerCart,+919343334445,greenitblr@gmail.com,ServerCart,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:28:50.626330Z,
16260,Jyeshtha Solutions Pvt. Ltd.,+919845104804,contact@jyeshtha.com,Jyeshtha Solutions Pvt. Ltd.,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:25:58.682244Z,
16261,Edream,+919663377073,contact@edream.co.in,Edream,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:25:12.917505Z,
16262,METAPOINT TECHNOLOGIES PVT LTD,+919989544438,hari@metapoint.in,METAPOINT TECHNOLOGIES PVT LTD,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:14:57.597880Z,
16263,Pratik Network System,+919226135092,pratiknetwork@gmail.com,Pratik Network System,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:14:17.902897Z,
16264,S V Greentech Private Limited,+919371106436,rihanmalik986@gmail.com,S V Greentech Private Limited,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:13:00.077921Z,
16265,Enertech UPS Pvt Ltd,+919373336340,sales@enertechups.com,Enertech UPS Pvt Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T08:12:24.320632Z,
16266,VENKAT RAO,+98860909070,venkat@domainnetworks.in,Domain Networks Pvt Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T07:30:00.070941Z,
16267,SATHYA MURTHY,+96206600990,sales@sathyasnetworks.com,Sathyas Networks,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T07:08:53.142556Z,
16268,NITESH,+97599257010,nitesh@sodspl.com,StaunchOndemand Solutions Private Limited,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T07:00:51.628951Z,
16269,ASHOK,+98221911810,sales@opelelectronics.com,Opal Electronics,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T05:51:09.516601Z,
16270,DESHPANDE,+99209338730,info@eendee.com,Eendee Sales & Services Pvt Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T05:25:30.306946Z,
16271,KEYUR KOTHARI,+98927061440,kirtisteel121@rediffmail.com,KRITI STEEL Industries,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T05:18:36.678618Z,
16272,ASHWIN VORA,+98200846880,info@avonappliances.com,AVON APPLIANCES,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T04:57:49.941675Z,
16273,KRISHNA RAO,+98481920880,colour_mk@yahoo.com,Colour India Paints Industries,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T04:45:54.921891Z,
16274,KALPESH,+98853747240,shadesno1@gmail.com,Shades,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T04:43:03.437654Z,
16275,Mutha Industries Pvt Ltd,+919862051920,info@muthaindustries.com,Mutha Industries Pvt Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-12T04:41:21.252624Z,
16276,DYNASOLE INDUSTRIES,+97006242720,support@dynasoleindustries.com,Dynasole Industries,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T13:53:46.368761Z,
16277,SUNITHA,+98804423650,vinod@arcamaxindia.com,Arcamax Computer Systems (P) Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T13:33:51.371810Z,
16278,D BAG NOC,+99000266470,enquiry@globrandslifestyle.com,Globrands Lifestyle Pvt Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T13:03:43.817452Z,
16279,D BAG NOC,+99000266470,enquiry@globrandslifestyle.com,Globrands Lifestyle Pvt Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T12:08:15.617621Z,
16280,GBS,+919941054646,info@gbssystems.com,GBS Infoo Systems,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T11:32:43.193168Z,
16281,PRASAD,+919962214100,gifts@thegreenroots.in,Green Roots,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T11:21:29.106962Z,
16282,D BAG NOC,+99000266470,enquiry@globrandslifestyle.com,Globrands Lifestyle Pvt Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T11:15:21.380549Z,
16283,Pradeep Kumar,+99882102970,care.kps@gmail.com,Vinayak Aircon,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T10:55:47.538426Z,
16284,ASHOK JAIN,+98451806610,premier_light@yahoo.com,Premier Lighting Industries,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T09:48:28.536078Z,
16285,MANOJ KUMAR,+99809080800,ilightsjmanoj@gmail.com,I Lights Technologies,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T09:35:31.383734Z,
16286,SAJJAN,+98445178470,barlota.ind@gmail.com,Barlota Industries,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T09:28:18.126848Z,
16287,ABDUL SHAIKH,+96372713070,enq@ssinsulation.com,S S INSULATION,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T09:08:44.972755Z,
16288,MR. DHANANJAY UGWEKAR,+98585855990,sales@vendsindia.com,Vends Tech India Pvt. Ltd.,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T08:45:41.759194Z,
16289,VISHAL PATEL,+99040882710,info@vishalfoundry.in,Vishal Foundry,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T08:33:18.654280Z,
16290,SHAH,+98250344940,info@starscientificindia.com,STAR SCIENTIFIC GLASS CO,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T08:20:55.060134Z,
16291,SHAIKH RAHIM,+98982758880,info@srkvalves.com,SRK Valves,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T08:19:24.843787Z,
16292,KISAN PATEL,+79846681670,umiyaassembly@gmail.com,Umiya Assembly Technologies,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T07:14:02.854198Z,
16293,MANISH PATEL,+99987009410,info@accutechflpfan.com,Accu- Tech Engineering,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T07:00:50.175152Z,
16294,HETAL PARIKH,+98250514040,Crown_hetal@yahoo.com,LIGHT ON Lighting Fixture,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T06:57:27.218448Z,
16295,HONEYSINGH,+99099070120,contact@brightideas.in,Bright Ideas Lighting Solutions,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T06:56:29.081922Z,
16296,TARUN MEHTA,+98129942370,info@timesmarketing.com,Times Marketing Pvt Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T06:46:09.227330Z,
16297,MACNEIL,+99304514930,support@macneillforklift.com,Macneill Engineering Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T06:38:45.355811Z,
16298,DARSHAN GOWDA,+98989123820,sales@shreebalaad.com,Shree Balaad Handling Works,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T06:36:16.338134Z,
16299,MR. DHANANJAY UGWEKAR,+98585855990,sales@vendsindia.com,Vends Tech India Pvt. Ltd.,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T06:24:41.039619Z,
16300,KEYUR PAREKH,+98670500750,sales@airotech.co.in,Air-O-Tech Engineers,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T06:14:55.118732Z,
16301,Excel Network Solutions,+919510834781,excelnetwork@gmail.com,Excel Network Solutions,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T06:05:40.994160Z,
16302,Lattice Networks,+919880012148,helpdesklatticeenteworks@gmail.com,Lattice Networks,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T06:01:07.293171Z,
16303,System Needs,+919845543444,support@systemneeds.in,System Needs,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T06:00:25.969669Z,
16304,Ani Enterprise,+919940222404,anienterprise9@gmail.com,Ani Enterprise,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T06:00:12.568624Z,
16305,Top Gun Network Technologies Pvt Ltd,+919845071018,info@topguntechnologies.com,Top Gun Network Technologies Pvt Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T05:58:53.748771Z,
16306,AMAR RADIO CORPORATION,+917975477851,sales84@amarradio.com,AMAR RADIO CORPORATION,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T05:48:57.096143Z,
16307,TenX Services Private Limited,+919916949898,sales@tenxworld.com,TenX Services Private Limited,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T05:45:40.408322Z,
16308,Square network solutions Pvt Ltd,+919840987432,sales@squarenet.in,Square network solutions Pvt Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T05:43:43.576515Z,
16309,Sathyas Networks,+919620660099,sales@sathyasnetworks.com,Sathyas Networks,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T05:39:29.194772Z,
16310,TermVertex Blr,+919845076102,prathishraj@teamvertex.com,TermVertex Blr,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T05:32:09.304851Z,
16311,StaunchOndemand Solutions Private Limited,+919759925701,nitesh@sodspl.com,StaunchOndemand Solutions Private Limited,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T05:30:36.219006Z,
16312,Synergy Systems & Pheripherals,+919841746593,nfo1@synergysystem.in,Synergy Systems & Pheripherals,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T05:30:15.913742Z,
16313,S H Telecom Services,+919848174559,info@shtelecom.net,S H Telecom Services,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T05:23:12.143303Z,
16314,Kamalveer Systems,+918886331764,info@kamalveersystems.net,Kamalveer Systems,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T05:16:36.336890Z,
16315,Gowra Bits & Bytes Private Limited,+919866669151,hello@gbb.co.in,Gowra Bits & Bytes Private Limited,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T05:15:12.269249Z,
16316,ServerCart,+919343334445,greenitblr@gmail.com,ServerCart,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T05:11:38.908545Z,
16317,Jyeshtha Solutions Pvt. Ltd.,+919845104804,contact@jyeshtha.com,Jyeshtha Solutions Pvt. Ltd.,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T05:09:03.473645Z,
16318,Green it Soluzione,+918879739774,samkhancisco1993@gmail.com,Green it Soluzione,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T05:00:52.430487Z,
16319,Secure Tel Networks Inc,+919448082646,Info@Securetel.In,Secure Tel Networks Inc,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T04:58:54.944687Z,
16320,METAPOINT TECHNOLOGIES PVT LTD,+919989544438,hari@metapoint.in,METAPOINT TECHNOLOGIES PVT LTD,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T04:57:20.082045Z,
16321,S V Greentech Private Limited,+919371106436,rihanmalik986@gmail.com,S V Greentech Private Limited,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T04:55:53.662260Z,
16322,Enertech UPS Pvt Ltd,+919373336340,sales@enertechups.com,Enertech UPS Pvt Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-11T04:55:09.931766Z,
16323,Costa Power Industries Pvt. Ltd.,+917971671193,sunil@upscbatteriesindia.com,Costa Power Industries Pvt. Ltd.,completed,Answered,Call connected; transcript unavailable.,2026-05-09T19:21:08.883441Z,
16324,TechnoVision Energy Private Limited,+919370132702,sales@technovisionenergy.com,TechnoVision Energy Private Limited,completed,Answered,Call connected; transcript unavailable.,2026-05-09T19:18:35.162983Z,
16325,Sk Power Engineering,+919930299228,sales@skpowerengineering.in,Sk Power Engineering,completed,Answered,Call connected; transcript unavailable.,2026-05-09T19:15:51.441663Z,
16326,Opal Electronics,+919822191181,sales@opelelectronics.com,Opal Electronics,completed,Answered,Call connected; transcript unavailable.,2026-05-09T19:14:25.587411Z,
16327,Batt Power Company,+919860178649,sales@battpower.in,Batt Power Company,completed,Answered,Call connected; transcript unavailable.,2026-05-09T19:13:58.055052Z,
16328,Sparkel,+919168012136,parkelsolarsystems@gmail.com,Sparkel,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T19:12:24.416199Z,
16329,MK POWER DISTRIBUTORS,+919021353189,mkpowersystem74@gmail.com,MK POWER DISTRIBUTORS,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T19:07:03.970773Z,
16330,J K Power Guard,+919302093090,jkpowerguard@yahoo.com,J K Power Guard,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T19:06:22.278978Z,
16331,Super Tech Power Systems,+919821170829,info@supertechpower.com,Super Tech Power Systems,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T19:06:06.997321Z,
16332,S M Power Systems,+919922516363,info@smpowersystems.com,S M Power Systems,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T19:04:20.351974Z,
16333,Waaree Energies Ltd.,+917486027376,info@saphirescientific.com,Waaree Energies Ltd.,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T19:02:54.045099Z,
16334,Hyderabad AC Services,+918712322475,info@hyderabadacservices.com,Hyderabad AC Services,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:58:45.703132Z,
16335,Eendee Sales & Services Pvt Ltd,+919920933873,info@eendee.com,Eendee Sales & Services Pvt Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:58:16.194933Z,
16336,Precision Power Products (india) (P) Ltd,+919969609966,contact@precisionpowerproducts.com,Precision Power Products (india) (P) Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:56:46.466608Z,
16337,AG Power Systems,+919867731444,agpowercompany@gmailcom,AG Power Systems,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:56:10.766618Z,
16338,KRITI STEEL Industries,+919892706144,kirtisteel121@rediffmail.com,KRITI STEEL Industries,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:54:37.136971Z,
16339,Kantilal and Sons Woodworks Private Limited,+919920252122,kcowood@hotmail.com,Kantilal and Sons Woodworks Private Limited,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:53:51.345318Z,
16340,Atmajyoti Ply,+918605966236,jainamoswal2001@gmail.com,Atmajyoti Ply,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:53:27.935868Z,
16341,Pepcopp Pest Control Services,+919833233406,info@pepcopp.co.in,Pepcopp Pest Control Services,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:50:04.574688Z,
16342,Matere Packaging,+919881316625,info@materepackaging.com,Matere Packaging,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:46:03.545043Z,
16343,Gravity Lab Laboratory Equipment,+919821198397,info@gravitylab.in,Gravity Lab Laboratory Equipment,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:44:25.687697Z,
16344,Chopda Industries,+919823722209,info@chopdaindustries.com,Chopda Industries,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:43:54.043796Z,
16345,AVON APPLIANCES,+919820084688,info@avonappliances.com,AVON APPLIANCES,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:43:28.612943Z,
16346,Classic Flooring & Interior (P) Ltd,+919019335959,himanshu.sm@squarefoot.co.in,Classic Flooring & Interior (P) Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:42:56.961480Z,
16347,Beautex Industries,+919022150000,happy2help@beautex.in,Beautex Industries,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:41:40.601631Z,
16348,Bombay Gift Company,+919820114078,bombaygiftcompany@gmail.com,Bombay Gift Company,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:38:48.662806Z,
16349,Colour India Paints Industries,+919848192088,colour_mk@yahoo.com,Colour India Paints Industries,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:36:05.107888Z,
16350,A K Enterprises,+919885940150,cas_chirag@yahoo.com,A K Enterprises,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:35:41.532878Z,
16351,Shades,+919885374724,shadesno1@gmail.com,Shades,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:34:05.984786Z,
16352,Nav Shakti Paints And Chemicals,+919848040845,nav_shakti@rediffmail.com,Nav Shakti Paints And Chemicals,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:30:22.154979Z,
16353,Kailash Hardware Corporation & Kailash Enterprises,+919848287732,kailashwirenetting@gmail.com,Kailash Hardware Corporation & Kailash Enterprises,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:28:58.288364Z,
16354,EagleCoats,+919121230001,eaglecoats@rediffmail.com,EagleCoats,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:25:06.420623Z,
16355,Sai Sravanthi Enterprises,+919573437171,civilizemart@gmail.com,Sai Sravanthi Enterprises,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:23:38.785856Z,
16356,RBN Enterprises,+917989692726,hemamurthy0508@gmail.com,RBN Enterprises,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:20:50.034318Z,
16357,Aster Infosystems,+919663371804,asterinfosystems@gmail.com,Aster Infosystems,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:15:04.140211Z,
16358,Arcamax Computer Systems (P) Ltd,+919880442365,vinod@arcamaxindia.com,Arcamax Computer Systems (P) Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:14:46.610674Z,
16359,Netsoft Systems & Networks,+919845130939,sales@netsoftindia.co.in,Netsoft Systems & Networks,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:13:48.650701Z,
16360,Microtouch Infotech Pvt Ltd,+919448066586,info@microtouch.co.in,Microtouch Infotech Pvt Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:12:45.104695Z,
16361,System Needs,+919845543444,support@systemneeds.in,System Needs,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:09:18.764842Z,
16362,Apar Systems & Peripherals,+919393461436,kushal.desai@apar.com,Apar Systems & Peripherals,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:08:40.943563Z,
16363,United Systems & Networks,+919246595940,usnetw@yahoo.com,United Systems & Networks,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:06:51.108592Z,
16364,Orchids Network & Systems (I) Private Limited,+919880799977,sales@onsipl.com,Orchids Network & Systems (I) Private Limited,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:00:48.445539Z,
16365,Balaji Bag Manufacturers,+919845162511,sales@balajibag.com,Balaji Bag Manufacturers,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T18:00:22.897717Z,
16366,Sanbay Networking (P) Ltd,+919885147594,prem@sanbay.net,Sanbay Networking (P) Ltd,completed,Answered,"Analyzer error: unterminated string literal (detected at line 226) (call_analyzer.py, line 226)",2026-05-09T17:57:29.656703Z,
